% Model,partA.mph
% Version,COMSOL 5.2.0.166
% Date,"Apr 24 2017, 17:09"
% Table,Table 1 - Global Evaluation 1 (Cd)
% Rey,Cd (1)
0.1,400.1755518005964
1.1,37.08496640195613
2.1,20.2044250933348
3.1,14.323851330363583
4.1,11.326517635038018
5.1,9.496929804578288
6.1,8.256944656642235
7.1,7.357730063994602
8.1,6.67421087229787
9.1,6.1360816242829355
10,5.740652043458642
20,3.6753186008919934
30,2.9349729826965456
40,2.5427543474353627
50,2.2967193588264343
60,2.1267023081920033
70,2.0010824158797966
80,1.9037791966444937
90,1.8257147121779442
100,1.7615722436338757
110,1.7077159160806057
120,1.6617822658393575
130,1.6220414092139877
140,1.5873060898675087
150,1.5565602529438405
160,1.5289854305030335
170,1.5039797039289133
180,1.4811110904098825
190,1.4600756365801382
200,1.4403250877501088
210,1.4220086253291435
220,1.4051166348631325
230,1.3894767929410525
240,1.3749028109743802
250,1.3612255656411347
260,1.3484015759888572
270,1.33643506569218
280,1.3252860711837469
290,1.3148313040803914
300,1.305010042831571
