% Model:              partA.mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 24 2017, 16:56
% Table:              Table 1 - Global Evaluation 1 (Cl)
% Q                      Cl (1)
1                        -2.8011916090752464
2                        -5.630233775305769
3                        -8.9728026210006
4                        -13.3384016961937
5                        -18.826364738904257
6                        -25.908601671401854
7                        -33.15937071619901
8                        -41.00925262904061
9                        -49.135604768987456
10                       -57.20311377675098
11                       -65.10076821835901
12                       -72.75055024759779
13                       -80.14377976073749
14                       -87.30478973426766
15                       -94.27584282761887
16                       -101.09500214669302
17                       -107.790399418244
18                       -114.39527375343657
19                       -120.90903201629276
20                       -127.36148964951822
21                       -133.7676286080926
22                       -140.13808431231277
23                       -146.48301622356075
24                       -152.8063092941808
25                       -159.1142506187897
26                       -165.40792717279777
27                       -171.6913213176353
28                       -177.9650190197157
29                       -184.22950469068704
30                       -190.48936000323928
31                       -196.7424487582151
32                       -202.98759170061135
33                       -209.26522081977558
34                       -215.52133579593746
35                       -221.77383035044517
36                       -228.02943104787497
37                       -234.29035308151634
38                       -240.55604266212544
39                       -246.82703597357758
40                       -253.1048180114712
